analysis,x,time,estimate,lcl,ucl,natrisk
Survival,1,0.3983377602,0.9958511815,0.9951890024,0.9964368893,
Survival,1,0.3984462375,0.9958214324,0.9951565043,0.9964097952,
Survival,1,0.4006671901,0.9957916173,0.9951239402,0.9963826353,
Survival,1,0.4063489633,0.9957616345,0.9950911881,0.996355325,
Survival,1,0.4147427848,0.9957313994,0.9950581474,0.9963277943,
Survival,1,0.420607622,0.9957009926,0.9950249144,0.9963001098,
Survival,1,0.4211481157,0.9956705691,0.9949916745,0.9962724001,
Survival,1,0.4294511814,0.9956398906,0.9949581429,0.9962444674,
Survival,1,0.4329133503,0.9956090963,0.9949244861,0.9962164273,
Survival,1,0.442950604,0.9955780127,0.9948904965,0.9961881357,
Survival,1,0.4452596286,0.995546859,0.9948564368,0.9961597743,
Survival,1,0.4461255026,0.9955156741,0.9948223534,0.9961313753,
Survival,1,0.4519009425,0.9954843025,0.9947880602,0.9961028098,
Survival,1,0.4524107365,0.99545292,0.9947537676,0.9960742236,
Survival,1,0.4528054951,0.9954215315,0.9947194814,0.9960456209,
Survival,1,0.4578291133,0.9953899829,0.9946850172,0.9960168736,
Survival,1,0.4589143108,0.9953583943,0.9946505186,0.9959880816,
Survival,1,0.4693436619,0.9953264877,0.9946156537,0.995959014,
Survival,1,0.4695850553,0.9952945647,0.9945807829,0.9959299211,
Survival,1,0.4723815795,0.9952625411,0.9945458054,0.9959007329,
Survival,1,0.4726221749,0.9952305102,0.9945108329,0.9958715272,
Survival,1,0.4754271731,0.9951984019,0.9944757813,0.9958422455,
Survival,1,0.4755105577,0.9951662894,0.994440738,0.9958129489,
Survival,1,0.4759163465,0.9951341572,0.9944056844,0.9957836247,
Survival,1,0.4791695721,0.9951019198,0.9943705187,0.9957542016,
Survival,1,0.4801336934,0.9950696532,0.9943353311,0.9957247429,
Survival,1,0.5014034186,0.9950367094,0.9942993494,0.9956947093,
Survival,1,0.5053886342,0.995003644,0.9942632366,0.9956645628,
Survival,1,0.5065026467,0.994970539,0.9942270905,0.9956343714,
Survival,1,0.5081149259,0.994937381,0.994190895,0.9956041243,
Survival,1,0.5093356448,0.9949041866,0.9941546698,0.995573835,
Survival,1,0.5124019721,0.9948709111,0.9941183616,0.9955434665,
Survival,1,0.5300291669,0.9948370454,0.9940813635,0.9955125955,
Survival,1,0.5301243816,0.9948031775,0.9940443769,0.9954817104,
Survival,1,0.5310805237,0.9947692703,0.9940073578,0.9954507805,
Survival,1,0.5337738596,0.9947353017,0.9939702796,0.9954197875,
Survival,1,0.5382487336,0.9947011735,0.9939330252,0.9953886497,
Survival,1,0.5450305872,0.9946668214,0.993895518,0.9953573136,
Survival,1,0.554851724,0.9946321519,0.9938576468,0.9953257014,
Survival,1,0.5598990154,0.9945973185,0.9938195946,0.9952939405,
Survival,1,0.5632866354,0.9945623418,0.9937813862,0.995262048,
Survival,1,0.5659573045,0.994527264,0.993743072,0.9952300589,
Survival,1,0.5667081582,0.9944921589,0.9937047401,0.9951980345,
Survival,1,0.569581891,0.9944569743,0.993666328,0.9951659316,
Survival,1,0.5728874799,0.9944216736,0.9936277922,0.9951337196,
Survival,1,0.5754042331,0.9943862748,0.9935891542,0.9951014137,
Survival,1,0.5783140609,0.994350756,0.9935503878,0.9950689953,
Survival,1,0.5822578952,0.9943151034,0.9935114766,0.9950364532,
Survival,1,0.5929176342,0.9942790722,0.9934721291,0.9950035837,
Survival,1,0.595037116,0.994242956,0.9934326953,0.9949706307,
Survival,1,0.60633297,0.9942064553,0.9933928181,0.9949373452,
Survival,1,0.6070572253,0.9941699264,0.9933529228,0.9949040232,
Survival,1,0.6091310039,0.9941333222,0.9933129531,0.9948706255,
Survival,1,0.6093291742,0.9940967154,0.9932729954,0.9948372127,
Survival,1,0.611257787,0.9940600125,0.9932329385,0.9948037072,
Survival,1,0.6126975273,0.9940232445,0.9931928192,0.9947701347,
Survival,1,0.6311674414,0.9939858555,0.993151975,0.9947360328,
Survival,1,0.6416672616,0.9939480887,0.9931106958,0.9947016037,
Survival,1,0.6433016206,0.9939102729,0.9930693746,0.9946671203,
Survival,1,0.6448930432,0.993872401,0.9930280025,0.9946325766,
Survival,1,0.6458967094,0.9938344901,0.9929866,0.9945979869,
Survival,1,0.648105612,0.9937964719,0.9929450854,0.9945632945,
Survival,1,0.648521267,0.9937584377,0.9929035677,0.9945285754,
Survival,1,0.6585975472,0.9937200301,0.9928616208,0.9944935325,
Survival,1,0.6606054565,0.9936815466,0.9928195997,0.9944584128,
Survival,1,0.6639282252,0.993642954,0.9927774647,0.9944231888,
Survival,1,0.6707176927,0.9936041034,0.9927350382,0.9943877366,
Survival,1,0.6725639226,0.9935652011,0.9926925665,0.9943522277,
Survival,1,0.6753019177,0.9935262041,0.9926499981,0.9943166264,
Survival,1,0.6763979104,0.993487175,0.9926074075,0.9942809847,
Survival,1,0.690209639,0.9934475717,0.9925641491,0.9942448519,
Survival,1,0.6936934815,0.9934078147,0.9925207242,0.9942085772,
Survival,1,0.7033967426,0.9933676965,0.9924768853,0.9941719882,
Survival,1,0.7035954413,0.9933275685,0.992433052,0.9941353768,
Survival,1,0.7057067086,0.9932873545,0.992389133,0.9940986794,
Survival,1,0.7118531003,0.9932468996,0.9923449439,0.9940617677,
Survival,1,0.7192522185,0.9932061293,0.9923003958,0.9940245795,
Survival,1,0.7256981484,0.9931650725,0.9922555233,0.9939871388,
Survival,1,0.7271790209,0.9931239629,0.9922106056,0.9939496394,
Survival,1,0.7290478321,0.9930827733,0.9921656099,0.9939120587,
Survival,1,0.7315309847,0.9930414894,0.9921205194,0.9938743851,
Survival,1,0.7325600311,0.9930001661,0.9920753991,0.993836664,
Survival,1,0.7386376331,0.9929586127,0.9920300221,0.9937987371,
Survival,1,0.7442001435,0.9929168216,0.9919843792,0.9937605979,
Survival,1,0.7503416224,0.9928747773,0.9919384522,0.9937222335,
Survival,1,0.7546411755,0.9928325579,0.9918923343,0.9936837085,
Survival,1,0.7552882521,0.9927903151,0.9918462063,0.9936451492,
Survival,1,0.7628215416,0.9927477188,0.9917996748,0.9936062812,
Survival,1,0.7660326452,0.9927050163,0.9917530348,0.9935673097,
